col 1,Time,col 2,col 3,col 4,col 5,col 6
260,09-Jan-21 01:56:42:627,00:00:08:03:210,44.572,0,23.482,0
261,09-Jan-21 01:56:44:483,00:00:08:05:066,44.567,0,23.483,0
262,09-Jan-21 01:56:46:339,00:00:08:06:922,44.562,0,23.485,0
263,09-Jan-21 01:56:48:195,00:00:08:08:778,44.558,0,23.485,0
264,09-Jan-21 01:56:50:051,00:00:08:10:634,44.554,0,23.486,0
265,09-Jan-21 01:56:51:906,00:00:08:12:489,44.55,0,23.485,0
266,09-Jan-21 01:56:53:764,00:00:08:14:347,44.548,0,23.485,0
267,09-Jan-21 01:56:55:621,00:00:08:16:204,44.544,0,23.485,0
268,09-Jan-21 01:56:57:476,00:00:08:18:059,44.542,0,23.484,0
269,09-Jan-21 01:56:59:332,00:00:08:19:915,44.538,0,23.484,0
270,09-Jan-21 01:57:01:189,00:00:08:21:772,44.536,0,23.486,0
271,09-Jan-21 01:57:03:045,00:00:08:23:628,44.533,0,23.489,0
272,09-Jan-21 01:57:04:903,00:00:08:25:486,44.53,0,23.493,0
273,09-Jan-21 01:57:06:761,00:00:08:27:344,44.459,0,23.492,0
274,09-Jan-21 01:57:08:617,00:00:08:29:200,44.426,0,23.49,0
275,09-Jan-21 01:57:10:473,00:00:08:31:056,44.398,0,23.493,0
276,09-Jan-21 01:57:12:330,00:00:08:32:913,44.367,0,23.495,0
277,09-Jan-21 01:57:14:189,00:00:08:34:772,44.33,0,23.497,0
278,09-Jan-21 01:57:16:045,00:00:08:36:628,44.288,0,23.498,0
279,09-Jan-21 01:57:17:900,00:00:08:38:483,44.217,0,23.499,0
280,09-Jan-21 01:57:19:756,00:00:08:40:339,44.119,0,23.5,0
281,09-Jan-21 01:57:21:613,00:00:08:42:196,44.069,0,23.501,0
282,09-Jan-21 01:57:23:469,00:00:08:44:052,44.041,0,23.499,0
283,09-Jan-21 01:57:25:326,00:00:08:45:909,44,0,23.498,0
284,09-Jan-21 01:57:27:184,00:00:08:47:767,43.977,0,23.496,0
285,09-Jan-21 01:57:29:041,00:00:08:49:624,43.959,0,23.493,0
286,09-Jan-21 01:57:30:897,00:00:08:51:480,43.957,0,23.491,0
287,09-Jan-21 01:57:32:754,00:00:08:53:337,43.965,0,23.491,0
288,09-Jan-21 01:57:34:610,00:00:08:55:193,43.973,0,23.493,0
289,09-Jan-21 01:57:36:467,00:00:08:57:050,43.984,0,23.495,0
290,09-Jan-21 01:57:38:322,00:00:08:58:905,43.997,0,23.496,0
291,09-Jan-21 01:57:40:180,00:00:09:00:763,44.01,0,23.498,0
292,09-Jan-21 01:57:42:036,00:00:09:02:619,44.023,0,23.498,0
293,09-Jan-21 01:57:43:892,00:00:09:04:475,44.036,0,23.498,0
294,09-Jan-21 01:57:45:750,00:00:09:06:333,44.048,0,23.5,0
295,09-Jan-21 01:57:47:611,00:00:09:08:194,44.062,0,23.503,0
296,09-Jan-21 01:57:49:467,00:00:09:10:050,44.076,0,23.505,0
297,09-Jan-21 01:57:51:322,00:00:09:11:905,44.091,0,23.509,0
298,09-Jan-21 01:57:53:178,00:00:09:13:761,44.105,0,23.512,0
299,09-Jan-21 01:57:55:035,00:00:09:15:618,44.118,0,23.514,0
300,09-Jan-21 01:57:56:890,00:00:09:17:473,44.13,0,23.514,0
301,09-Jan-21 01:57:58:745,00:00:09:19:328,44.147,0,23.513,0
302,09-Jan-21 01:58:00:600,00:00:09:21:183,44.162,0,23.515,0
303,09-Jan-21 01:58:02:455,00:00:09:23:038,44.177,0,23.517,0
304,09-Jan-21 01:58:04:311,00:00:09:24:894,44.193,0,23.518,0
305,09-Jan-21 01:58:06:166,00:00:09:26:749,44.21,0,23.516,0
306,09-Jan-21 01:58:08:022,00:00:09:28:605,44.227,0,23.514,0
307,09-Jan-21 01:58:09:878,00:00:09:30:461,44.246,0,23.512,0
308,09-Jan-21 01:58:11:735,00:00:09:32:318,44.266,0,23.511,0
309,09-Jan-21 01:58:13:592,00:00:09:34:175,44.284,0,23.51,0
310,09-Jan-21 01:58:15:448,00:00:09:36:031,44.301,0,23.508,0
311,09-Jan-21 01:58:17:304,00:00:09:37:887,44.314,0,23.509,0
312,09-Jan-21 01:58:19:161,00:00:09:39:744,44.333,0,23.507,0
313,09-Jan-21 01:58:21:019,00:00:09:41:602,44.354,0,23.505,0
314,09-Jan-21 01:58:22:877,00:00:09:43:460,44.374,0,23.503,0
315,09-Jan-21 01:58:24:732,00:00:09:45:315,44.399,0,23.502,0
316,09-Jan-21 01:58:26:588,00:00:09:47:171,44.415,0,23.502,0
317,09-Jan-21 01:58:28:444,00:00:09:49:027,44.433,0,23.501,0
318,09-Jan-21 01:58:30:300,00:00:09:50:883,44.454,0,23.499,0
319,09-Jan-21 01:58:32:157,00:00:09:52:740,44.471,0,23.498,0
320,09-Jan-21 01:58:34:013,00:00:09:54:596,44.486,0,23.498,0
321,09-Jan-21 01:58:35:870,00:00:09:56:453,44.504,0,23.5,0
322,09-Jan-21 01:58:37:727,00:00:09:58:310,44.529,0,23.499,0
323,09-Jan-21 01:58:39:582,00:00:10:00:165,44.548,0,23.497,0
324,09-Jan-21 01:58:41:439,00:00:10:02:022,44.567,0,23.496,0
325,09-Jan-21 01:58:43:295,00:00:10:03:878,44.591,0,23.496,0
326,09-Jan-21 01:58:45:151,00:00:10:05:734,44.609,0,23.493,0
327,09-Jan-21 01:58:47:010,00:00:10:07:593,44.627,0,23.492,0
328,09-Jan-21 01:58:48:868,00:00:10:09:451,44.647,0,23.493,0
329,09-Jan-21 01:58:50:725,00:00:10:11:308,44.679,0,23.494,0
330,09-Jan-21 01:58:52:581,00:00:10:13:164,44.711,0,23.496,0
331,09-Jan-21 01:58:54:439,00:00:10:15:022,44.731,0,23.497,0
332,09-Jan-21 01:58:56:296,00:00:10:16:879,44.751,0,23.496,0
333,09-Jan-21 01:58:58:153,00:00:10:18:736,44.77,0,23.497,0
334,09-Jan-21 01:59:00:008,00:00:10:20:591,44.788,0,23.497,0
335,09-Jan-21 01:59:01:865,00:00:10:22:448,44.806,0,23.494,0
336,09-Jan-21 01:59:03:721,00:00:10:24:304,44.805,0,23.495,0
337,09-Jan-21 01:59:05:578,00:00:10:26:161,44.793,0,23.496,0
338,09-Jan-21 01:59:07:434,00:00:10:28:017,44.782,0,23.496,0
339,09-Jan-21 01:59:09:292,00:00:10:29:875,44.771,0,23.497,0
340,09-Jan-21 01:59:11:148,00:00:10:31:731,44.76,0,23.498,0
341,09-Jan-21 01:59:13:003,00:00:10:33:586,44.749,0,23.498,0
342,09-Jan-21 01:59:14:860,00:00:10:35:443,44.74,0,23.5,0
343,09-Jan-21 01:59:16:717,00:00:10:37:300,44.732,0,23.495,0
344,09-Jan-21 01:59:18:573,00:00:10:39:156,44.722,0,23.492,0
345,09-Jan-21 01:59:20:428,00:00:10:41:011,44.715,0,23.491,0
346,09-Jan-21 01:59:22:284,00:00:10:42:867,44.707,0,23.493,0
347,09-Jan-21 01:59:24:140,00:00:10:44:723,44.7,0,23.496,0
